file,entity,label,confidence
Process Management dataset.docx,POS,MISC,0.9424999952316284
Process Management dataset.docx,##IX,ORG,0.5063999891281128
Process Management dataset.docx,E,MISC,0.5861999988555908
Process Management dataset.docx,##LF,ORG,0.5245000123977661
Process Management dataset.docx,Java,MISC,0.9879000186920166
Process Management dataset.docx,Firefox,MISC,0.9735000133514404
Process Management dataset.docx,##oc,ORG,0.5874000191688538
Process Management dataset.docx,Block,MISC,0.49410000443458557
Process Management dataset.docx,OS,ORG,0.9269000291824341
Process Management dataset.docx,OS,ORG,0.9528999924659729
Process Management dataset.docx,Tanenbaum,PER,0.8465999960899353
Process Management dataset.docx,OS,ORG,0.5619000196456909
Process Management dataset.docx,MINIX,MISC,0.909500002861023
Process Management dataset.docx,OS,ORG,0.885699987411499
Process Management dataset.docx,OS,ORG,0.7961999773979187
Process Management dataset.docx,Stallings,PER,0.9106000065803528
Process Management dataset.docx,Windows,MISC,0.911300003528595
Process Management dataset.docx,UNIX,MISC,0.930400013923645
Process Management dataset.docx,UNIX,MISC,0.9345999956130981
Process Management dataset.docx,UNIX,MISC,0.7867000102996826
Process Management dataset.docx,UNIX,MISC,0.6679999828338623
Process Management dataset.docx,Linux,MISC,0.9330000281333923
Process Management dataset.docx,Linux,MISC,0.5085999965667725
Process Management dataset.docx,Windows,MISC,0.675000011920929
Process Management dataset.docx,Windows,MISC,0.5307999849319458
Process Management dataset.docx,Windows,MISC,0.8310999870300293
Process Management dataset.docx,UNIX,MISC,0.9110999703407288
Process Management dataset.docx,OS,ORG,0.4307999908924103
Process Management dataset.docx,UNIX,MISC,0.8909000158309937
Process Management dataset.docx,Bach,PER,0.9991000294685364
Process Management dataset.docx,UNIX,MISC,0.9085000157356262
Process Management dataset.docx,Windows,MISC,0.9376999735832214
Process Management dataset.docx,UNIX,MISC,0.9168999791145325
Process Management dataset.docx,Block,MISC,0.5062000155448914
Process Management dataset.docx,PC,ORG,0.4578999876976013
Process Management dataset.docx,OS,ORG,0.9297000169754028
Process Management dataset.docx,OS,ORG,0.7609999775886536
Process Management dataset.docx,MINIX,MISC,0.9366999864578247
Process Management dataset.docx,OS,ORG,0.7578999996185303
Process Management dataset.docx,Stallings,PER,0.9437999725341797
Process Management dataset.docx,Linux,MISC,0.7674999833106995
Process Management dataset.docx,Linux,MISC,0.5591999888420105
Process Management dataset.docx,UNIX,MISC,0.9717000126838684
Process Management dataset.docx,UNIX,MISC,0.8131999969482422
Process Management dataset.docx,UNIX - based,MISC,0.8066999912261963
Process Management dataset.docx,OS,ORG,0.9850999712944031
Process Management dataset.docx,OS,ORG,0.9610999822616577
Process Management dataset.docx,OS,MISC,0.5090000033378601
Process Management dataset.docx,OS,ORG,0.9801999926567078
Process Management dataset.docx,x86,MISC,0.7717000246047974
Process Management dataset.docx,OS,ORG,0.6031000018119812
Process Management dataset.docx,Free,MISC,0.8938999772071838
Process Management dataset.docx,##BSD,ORG,0.5611000061035156
Process Management dataset.docx,UNIX,MISC,0.9706000089645386
Process Management dataset.docx,OS,ORG,0.8686000108718872
